Name,League,ATT,MID,DEF,OVR,Team Rating
Chelsea,Barclays PL,82,82,81,83,
Manchester City,Barclays PL,83,82,81,82,
Manchester United,Barclays PL,85,80,75,81,
Arsenal,Barclays PL,80,80,77,80,
Liverpool,Barclays PL,79,78,75,79,
Everton,Barclays PL,78,78,78,78,
Tottenham Hotspur,Barclays PL,78,77,77,78,
Southampton,Barclays PL,77,75,76,76,
Stoke City,Barclays PL,76,75,74,76,
Swansea City,Barclays PL,77,74,74,75,
West Ham United,Barclays PL,75,74,72,75,
Newcastle United,Barclays PL,74,75,74,75,
Queens Park Rangers,Barclays PL,74,74,71,75,
Aston Villa,Barclays PL,72,74,74,75,
Sunderland,Barclays PL,76,73,72,74,
West Bromwich Albion,Barclays PL,74,74,71,74,
Hull City,Barclays PL,75,73,70,73,
Crystal Palace,Barclays PL,73,73,73,73,
Leicester City,Barclays PL,71,72,68,72,
Burnley,Barclays PL,71,70,71,70,
