Name,League,ATT,MID,DEF,OVR,Team Rating
Manchester City,Barclays PL,85,87,83,84,
Tottenham Hotspur,Barclays PL,85,83,82,83,
Manchester United,Barclays PL,85,83,81,83,
Chelsea,Barclays PL,84,86,82,83,
Arsenal,Barclays PL,84,80,81,82,
Liverpool,Barclays PL,85,81,80,81,
Everton,Barclays PL,77,80,79,79,
Leicester City,Barclays PL,79,79,76,78,
West Ham United,Barclays PL,79,76,74,77,
Watford,Barclays PL,78,77,75,77,
Burnley,Barclays PL,76,77,78,77,
Crystal Palace,Barclays PL,79,76,76,76,
West Bromwich Albion,Barclays PL,79,75,77,76,
Southampton,Barclays PL,76,77,75,76,
Bournemouth,Barclays PL,76,75,75,76,
Stoke City,Barclays PL,75,76,76,76,
Newcastle United,Barclays PL,76,75,76,75,
Swansea City,Barclays PL,76,75,74,75,
Brighton & Hove Albion,Barclays PL,74,76,74,75,
Huddersfield Town,Barclays PL,75,73,74,74,
