Name,League,ATT,MID,DEF,OVR,Team Rating
Chelsea,Barclays PL,81,82,82,83,
Manchester City,Barclays PL,84,82,81,82,
Arsenal,Barclays PL,82,79,80,82,
Manchester United,Barclays PL,69,80,77,81,
Tottenham Hotspur,Barclays PL,82,78,79,79,
Liverpool,Barclays PL,81,79,79,79,
Everton,Barclays PL,78,78,80,78,
Newcastle United,Barclays PL,77,77,75,77,
Stoke City,Barclays PL,76,78,76,77,
Southampton,Barclays PL,76,76,76,77,
West Ham United,Barclays PL,76,76,74,77,
Swansea City,Barclays PL,77,76,76,76,
Leicester City,Barclays PL,76,77,75,76,
Crystal Palace,Barclays PL,75,76,75,76,
Watford,Barclays PL,77,74,74,75,
Sunderland,Barclays PL,77,74,74,75,
West Bromwich Albion,Barclays PL,76,73,73,75,
Aston Villa,Barclays PL,74,74,74,75,
Norwich City,Barclays PL,78,74,73,74,
Bournemouth,Barclays PL,72,74,72,73,
