Name,League,ATT,MID,DEF,OVR,Team Rating
Chelsea,Barclays Premier League,85,84,84,83,
Liverpool,Barclays Premier League,88,82,81,82,
Manchester United,Barclays Premier League,86,81,84,82,
Arsenal,Barclays Premier League,85,82,82,81,
Manchester City,Barclays Premier League,84,80,80,81,
Aston Villa,Barclays Premier League,82,79,76,79,
Tottenham Hotspur,Barclays Premier League,81,78,78,79,
Everton,Barclays Premier League,80,77,79,79,
Fulham,Barclays Premier League,76,76,77,76,
West Ham United,Barclays Premier League,76,76,75,76,
Sunderland,Barclays Premier League,78,77,74,75,
Bolton Wanderers,Barclays Premier League,77,75,73,75,
Blackburn Rovers,Barclays Premier League,75,75,75,75,
Portsmouth,Barclays Premier League,75,74,74,75,
Wigan Athletic,Barclays Premier League,74,74,74,74,
Birmingham City,Barclays Premier League,73,75,71,74,
Stoke City,Barclays Premier League,76,72,75,73,
Hull City,Barclays Premier League,70,72,73,73,
Burnley,Barclays Premier League,75,72,70,72,
Wolverhampton Wanderers,Barclays Premier League,75,72,69,72,
