Name,League,ATT,MID,DEF,OVR,Team Rating
Chelsea,FA Premier League,87,88,85,87,
Manchester United,FA Premier League,92,85,84,86,
Arsenal,FA Premier League,90,84,86,86,
Liverpool,FA Premier League,90,87,81,85,
Newcastle United,FA Premier League,86,80,76,80,
Middlesbrough,FA Premier League,83,79,79,80,
Everton,FA Premier League,80,80,80,80,
Tottenham Hotspur,FA Premier League,83,79,76,79,
Aston Villa,FA Premier League,84,75,77,78,
Manchester City,FA Premier League,80,77,78,78,
Birmingham City,FA Premier League,76,76,75,76,
Bolton Wanderers,FA Premier League,79,77,70,75,
Fulham,FA Premier League,73,78,74,75,
Blackburn Rovers,FA Premier League,78,72,73,74,
Portsmouth,FA Premier League,76,71,75,74,
West Bromwich,FA Premier League,74,73,71,73,
Charlton Athletic,FA Premier League,70,77,73,73,
West Ham United,FA Premier League,70,73,71,73,
Wigan Athletic,FA Premier League,75,68,72,70,
Sunderland,FA Premier League,72,66,65,68,
