Name,League,ATT,MID,DEF,OVR,Team Rating
Manchester United,Barclays PL,86,82,83,83,
Manchester City,Barclays PL,85,83,81,83,
Chelsea,Barclays PL,81,81,81,82,
Arsenal,Barclays PL,81,80,80,80,
Tottenham Hotspur,Barclays PL,81,80,79,80,
Liverpool,Barclays PL,79,80,79,79,
Newcastle United,Barclays PL,82,77,76,77,
Everton,Barclays PL,76,75,77,77,
Queens Park Rangers,Barclays PL,79,74,74,76,
Fulham,Barclays PL,78,77,75,76,
Sunderland,Barclays PL,77,75,74,75,
Aston Villa,Barclays PL,76,72,72,75,
Stoke City,Barclays PL,75,76,75,75,
West Bromwich Albion,Barclays PL,74,75,71,74,
Swansea City,Barclays PL,73,73,73,74,
West Ham United,Barclays PL,75,73,71,73,
Wigan Athletic,Barclays PL,72,70,74,73,
Southampton,Barclays PL,73,70,72,72,
Norwich City,Barclays PL,72,72,73,72,
Reading,Barclays PL,73,70,70,71,
