Name,League,ATT,MID,DEF,OVR,Team Rating
Chelsea,Barclays PL,85,84,83,83,
Manchester United,Barclays PL,85,82,82,82,
Manchester City,Barclays PL,84,81,80,82,
Arsenal,Barclays PL,84,84,80,81,
Liverpool,Barclays PL,83,81,81,80,
Tottenham Hotspur,Barclays PL,80,81,79,80,
Everton,Barclays PL,80,79,78,78,
Aston Villa,Barclays PL,78,80,78,78,
Fulham,Barclays PL,79,76,77,77,
Birmingham City,Barclays PL,77,77,76,76,
Sunderland,Barclays PL,77,74,75,75,
Bolton Wanderers,Barclays PL,76,76,75,75,
Blackburn Rovers,Barclays PL,75,75,75,75,
West Ham United,Barclays PL,74,76,74,75,
Stoke City,Barclays PL,76,73,75,74,
Newcastle United,Barclays PL,75,73,71,74,
Wolverhampton Wanderers,Barclays PL,76,72,73,73,
West Bromwich Albion,Barclays PL,74,68,70,73,
Wigan Athletic,Barclays PL,71,74,72,73,
Blackpool,Barclays PL,70,70,69,69,
