Name,League,ATT,MID,DEF,OVR,Team Rating
Liverpool,Premier League,86,83,80,85,
Manchester City,Premier League,85,86,83,85,
Tottenham Hotspur,Premier League,89,82,81,82,
Manchester United,Premier League,83,82,82,82,
Chelsea,Premier League,82,84,82,82,
Arsenal,Premier League,83,79,79,80,
Leicester City,Premier League,80,81,79,80,
Everton,Premier League,81,79,80,79,
Wolverhampton Wanderers,Premier League,77,81,78,79,
West Ham United,Premier League,79,79,77,78,
Aston Villa,Premier League,77,77,77,77,
Leeds United,Premier League,78,76,75,76,
Southampton,Premier League,77,77,76,76,
Crystal Palace,Premier League,77,75,75,76,
Newcastle United,Premier League,77,75,74,76,
Burnley,Premier League,75,76,77,76,
Brighton & Hove Albion,Premier League,75,76,76,75,
Fulham,Premier League,74,75,74,75,
West Bromwich Albion,Premier League,74,74,72,73,
Sheffield United,Premier League,71,74,73,73,
