Name,League,ATT,MID,DEF,OVR,Team Rating
Manchester City,Premier League,87,86,83,85,
Liverpool,Premier League,87,83,85,85,
Tottenham Hotspur,Premier League,85,82,82,82,
Manchester United,Premier League,83,81,81,81,
Chelsea,Premier League,80,84,81,81,
Arsenal,Premier League,84,82,78,80,
Leicester City,Premier League,80,79,79,79,
West Ham United,Premier League,82,78,73,78,
Everton,Premier League,80,78,79,78,
Wolverhampton Wanderers,Premier League,79,79,78,78,
Watford,Premier League,76,78,75,77,
Newcastle United,Premier League,75,78,77,77,
Crystal Palace,Premier League,73,77,76,77,
AFC Bournemouth,Premier League,78,76,76,76,
Burnley,Premier League,77,76,76,76,
Aston Villa,Premier League,77,75,75,76,
Southampton,Premier League,76,76,76,76,
Brighton & Hove Albion,Premier League,75,76,76,76,
Sheffield United,Premier League,73,77,75,75,
Norwich City,Premier League,75,74,72,74,
