Name,League,ATT,MID,DEF,OVR,Team Rating
Manchester City,Barclays PL,84,83,81,83,
Manchester United,Barclays PL,85,80,82,82,
Chelsea,Barclays PL,83,81,82,82,
Tottenham Hotspur,Barclays PL,82,79,78,81,
Arsenal,Barclays PL,80,79,79,80,
Liverpool,Barclays PL,78,79,79,79,
Fulham,Barclays PL,80,76,76,77,
Newcastle United,Barclays PL,77,76,77,77,
Everton,Barclays PL,76,76,77,77,
Swansea City,Barclays PL,77,74,75,76,
West Bromwich Albion,Barclays PL,75,75,72,75,
Stoke City,Barclays PL,75,74,74,75,
Southampton,Barclays PL,78,73,71,74,
Sunderland,Barclays PL,76,75,72,74,
West Ham United,Barclays PL,75,75,72,74,
Norwich City,Barclays PL,75,74,73,74,
Aston Villa,Barclays PL,73,71,73,74,
Hull City,Barclays PL,72,73,70,71,
Cardiff City,Barclays PL,71,73,69,71,
Crystal Palace,Barclays PL,70,70,68,70,
