Name,League,ATT,MID,DEF,OVR,Team Rating
Chelsea,F.A. Premier League,86,86,83,84,
Manchester United,F.A. Premier League,88,84,82,82,
Arsenal,F.A. Premier League,84,82,81,82,
Liverpool,F.A. Premier League,82,83,81,81,
Newcastle United,F.A. Premier League,83,79,74,79,
Tottenham Hotspur,F.A. Premier League,83,78,80,79,
Everton,F.A. Premier League,80,77,76,77,
Blackburn Rovers,F.A. Premier League,79,78,76,77,
Manchester City,F.A. Premier League,79,76,75,77,
Middlesbrough,F.A. Premier League,81,78,74,76,
West Ham United,F.A. Premier League,80,78,76,76,
Bolton Wanderers,F.A. Premier League,79,76,75,76,
Charlton Athletic,F.A. Premier League,80,73,75,75,
Aston Villa,F.A. Premier League,79,74,73,75,
Fulham,F.A. Premier League,78,76,76,75,
Portsmouth,F.A. Premier League,76,76,75,75,
Wigan Athletic,F.A. Premier League,76,70,73,74,
Sheffield United,F.A. Premier League,79,70,71,72,
Reading FC,F.A. Premier League,73,75,66,71,
Watford,F.A. Premier League,71,70,69,68,
