Name,League,ATT,MID,DEF,OVR,Team Rating
Chelsea,Barclays PL,86,84,81,83,5
Manchester United,Barclays PL,84,84,82,83,5
Manchester City,Barclays PL,83,85,81,83,5
Arsenal,Barclays PL,81,83,82,83,5
Tottenham Hotspur,Barclays PL,85,81,81,81,4.5
Liverpool,Barclays PL,82,81,81,81,4.5
Everton,Barclays PL,85,78,79,80,4.5
Leicester City,Barclays PL,79,78,76,78,4
West Ham United,Barclays PL,79,77,77,78,4
Southampton,Barclays PL,78,76,77,78,4
Stoke City,Barclays PL,77,78,77,78,4
Crystal Palace,Barclays PL,80,77,76,77,4
Watford,Barclays PL,78,78,76,77,4
Swansea City,Barclays PL,78,76,75,77,4
Sunderland,Barclays PL,81,76,73,76,4
West Bromwich Albion,Barclays PL,81,76,74,75,4
Hull City,Barclays PL,76,74,75,75,4
Middlesbrough,Barclays PL,76,74,74,75,4
Bournemouth,Barclays PL,74,75,74,74,3.5
Burnley,Barclays PL,74,74,76,74,3.5
