Name,League,ATT,MID,DEF,OVR,Team Rating
Liverpool,England Premier League (1),86,84,85,85,
Manchester City,England Premier League (1),84,87,86,85,
Chelsea,England Premier League (1),84,85,83,84,
Manchester United,England Premier League (1),82,83,81,83,
Tottenham Hotspur,England Premier League (1),83,81,78,81,
Leicester City,England Premier League (1),80,80,78,80,
Arsenal,England Premier League (1),77,80,77,80,
West Ham United,England Premier League (1),80,79,77,79,
Aston Villa,England Premier League (1),79,78,79,78,
Wolverhampton Wanderers,England Premier League (1),78,80,78,78,
Everton,England Premier League (1),78,78,77,78,
Newcastle United,England Premier League (1),78,77,77,77,
Leeds United,England Premier League (1),77,77,75,76,
Crystal Palace,England Premier League (1),77,76,75,76,
Burnley,England Premier League (1),77,75,76,76,
Southampton,England Premier League (1),75,76,76,76,
Brighton & Hove Albion,England Premier League (1),75,73,77,76,
Brentford,England Premier League (1),74,75,74,74,
Watford,England Premier League (1),74,75,74,74,
Norwich City,England Premier League (1),75,73,73,73,
