Name,League,ATT,MID,DEF,OVR,Team Rating
Manchester United,Barclays Premier League,89,86,83,83,
Chelsea FC,Barclays Premier League,87,84,83,83,
Liverpool,Barclays Premier League,85,83,82,81,
Arsenal FC,Barclays Premier League,84,83,81,80,
Tottenham Hotspur,Barclays Premier League,84,80,79,78,
Newcastle United,Barclays Premier League,82,76,76,77,
Blackburn Rovers,Barclays Premier League,82,79,76,76,
Everton,Barclays Premier League,79,80,79,76,
Portsmouth,Barclays Premier League,79,77,77,76,
West Ham United,Barclays Premier League,77,79,76,76,
Middlesbrough,Barclays Premier League,79,78,76,75,
Manchester City,Barclays Premier League,78,75,76,75,
Aston Villa,Barclays Premier League,76,80,72,75,
Bolton Wanderers,Barclays Premier League,76,76,75,75,
Reading FC,Barclays Premier League,79,74,74,74,
Fulham,Barclays Premier League,76,76,73,74,
Birmingham City,Barclays Premier League,77,73,72,72,
Wigan Athletic,Barclays Premier League,73,73,72,72,
Sunderland,Barclays Premier League,72,72,70,71,
Derby County,Barclays Premier League,74,67,68,69,
