Name,League,ATT,MID,DEF,OVR,Team Rating
Chelsea,Barclays PL,86,83,83,83,
Manchester United,Barclays PL,86,80,84,83,
Manchester City,Barclays PL,85,84,81,83,
Arsenal,Barclays PL,84,82,80,81,
Tottenham Hotspur,Barclays PL,82,85,77,81,
Liverpool,Barclays PL,83,81,80,80,
Fulham,Barclays PL,78,77,76,77,
Sunderland,Barclays PL,80,76,75,76,
Everton,Barclays PL,79,76,78,76,
Stoke City,Barclays PL,77,76,77,76,
Aston Villa,Barclays PL,77,75,76,76,
Bolton Wanderers,Barclays PL,76,75,75,76,
Newcastle United,Barclays PL,71,77,75,76,
Blackburn Rovers,Barclays PL,73,76,75,75,
West Bromwich Albion,Barclays PL,75,73,73,74,
Wolverhampton Wanderers,Barclays PL,77,74,72,73,
Wigan Athletic,Barclays PL,71,73,71,73,
Queens Park Rangers,Barclays PL,73,75,70,72,
Swansea City,Barclays PL,73,69,69,71,
Norwich City,Barclays PL,73,70,68,70,
